year,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,country
2000,3.034,2.192,0.626,0.216,AFG
2001,3.034,2.192,0.626,0.216,AFG
2002,3.034,2.192,0.626,0.216,AFG
2003,3.034,2.192,0.626,0.216,AFG
2004,3.034,2.192,0.626,0.216,AFG
2005,3.321,2.29,0.807,0.224,AFG
2006,3.321,2.29,0.807,0.224,AFG
2007,3.321,2.29,0.807,0.224,AFG
2008,3.321,2.29,0.807,0.224,AFG
2009,3.321,2.29,0.807,0.224,AFG
2010,3.933,2.683,1.022,0.228,AFG
2011,3.933,2.683,1.022,0.228,AFG
2012,3.933,2.683,1.022,0.228,AFG
2013,3.933,2.683,1.022,0.228,AFG
2014,3.933,2.683,1.022,0.228,AFG
2015,4.826,3.278,1.266,0.282,AFG
2016,4.826,3.278,1.266,0.282,AFG
2017,4.826,3.278,1.266,0.282,AFG
2018,4.826,3.278,1.266,0.282,AFG
2019,4.826,3.278,1.266,0.282,AFG
2020,4.826,3.278,1.266,0.282,AFG
2021,4.826,3.278,1.266,0.282,AFG
2022,4.826,3.278,1.266,0.282,AFG
2000,9.931,6.925,2.793,0.213,ALB
2001,9.931,6.925,2.793,0.213,ALB
2002,9.931,6.925,2.793,0.213,ALB
2003,9.931,6.925,2.793,0.213,ALB
2004,9.931,6.925,2.793,0.213,ALB
2005,10.237,7.218,2.884,0.136,ALB
2006,10.237,7.218,2.884,0.136,ALB
2007,10.237,7.218,2.884,0.136,ALB
2008,10.237,7.218,2.884,0.136,ALB
2009,10.237,7.218,2.884,0.136,ALB
2010,10.437,6.922,3.453,0.061,ALB
2011,10.437,6.922,3.453,0.061,ALB
2012,10.437,6.922,3.453,0.061,ALB
2013,10.437,6.922,3.453,0.061,ALB
2014,10.437,6.922,3.453,0.061,ALB
2015,10.972,6.742,3.725,0.506,ALB
2016,10.972,6.742,3.725,0.506,ALB
2017,10.972,6.742,3.725,0.506,ALB
2018,10.972,6.742,3.725,0.506,ALB
2019,10.972,6.742,3.725,0.506,ALB
2020,10.972,6.742,3.725,0.506,ALB
2021,10.972,6.742,3.725,0.506,ALB
2022,10.972,6.742,3.725,0.506,ALB
2000,6.056,4.013,1.835,0.208,DZA
2001,6.056,4.013,1.835,0.208,DZA
2002,6.056,4.013,1.835,0.208,DZA
2003,6.056,4.013,1.835,0.208,DZA
2004,6.056,4.013,1.835,0.208,DZA
2005,6.43,4.272,1.867,0.29,DZA
2006,6.43,4.272,1.867,0.29,DZA
2007,6.43,4.272,1.867,0.29,DZA
2008,6.43,4.272,1.867,0.29,DZA
2009,6.43,4.272,1.867,0.29,DZA
2010,7.001,4.448,2.169,0.384,DZA
2011,7.001,4.448,2.169,0.384,DZA
2012,7.001,4.448,2.169,0.384,DZA
2013,7.001,4.448,2.169,0.384,DZA
2014,7.001,4.448,2.169,0.384,DZA
2015,7.71,4.592,2.606,0.512,DZA
2016,7.71,4.592,2.606,0.512,DZA
2017,7.71,4.592,2.606,0.512,DZA
2018,7.71,4.592,2.606,0.512,DZA
2019,7.71,4.592,2.606,0.512,DZA
2020,7.71,4.592,2.606,0.512,DZA
2021,7.71,4.592,2.606,0.512,DZA
2022,7.71,4.592,2.606,0.512,DZA
2000,9.079,6.481,2.353,0.245,ARG
2001,9.079,6.481,2.353,0.245,ARG
2002,9.079,6.481,2.353,0.245,ARG
2003,9.079,6.481,2.353,0.245,ARG
2004,9.079,6.481,2.353,0.245,ARG
2005,9.572,6.688,2.623,0.261,ARG
2006,9.572,6.688,2.623,0.261,ARG
2007,9.572,6.688,2.623,0.261,ARG
2008,9.572,6.688,2.623,0.261,ARG
2009,9.572,6.688,2.623,0.261,ARG
2010,10.418,6.683,3.154,0.582,ARG
2011,10.418,6.683,3.154,0.582,ARG
2012,10.418,6.683,3.154,0.582,ARG
2013,10.418,6.683,3.154,0.582,ARG
2014,10.418,6.683,3.154,0.582,ARG
