country,year,gdp_pc,gdp_pc_growth,primary_completion,lower_sec_completion,upper_sec_completion,population,arwu_ranked_num,arwu_sum_score,math,read,science,in_math99,imo_total_score,democracy_eiu
AFG,2003,199.643227895834,0.927029128491213,,,,22645130,0,0.0,,,,,0.0,
AFG,2004,221.830530720307,-2.49725463876796,,,,23553551,0,0.0,,,,,0.0,
AFG,2005,254.115274305561,7.32187384114641,,,,24411191,0,0.0,,,,,0.0,
AFG,2006,274.015394322653,1.08498820068219,,,,25442944,0,0.0,,,,,0.0,3.06
AFG,2007,376.318296441543,11.8033826648297,,,,25903301,0,0.0,,,,,0.0,
AFG,2008,382.533803815415,1.86475446570948,,,,26427199,0,0.0,,,,,0.0,3.02
AFG,2009,453.387382075258,17.1435343251686,,,,27385307,0,0.0,,,,,0.0,
AFG,2010,562.499219444201,11.099219916622,,,,28189672,0,0.0,,,,,0.0,2.48
AFG,2011,608.738855868402,-3.21136429567821,,,,29249157,0,0.0,,,,,0.0,2.48
AFG,2012,653.417479124439,8.24714425211201,,,,30466479,0,0.0,,,,,0.0,2.48
AFG,2013,638.733184780223,2.00252214522942,,,,31541209,0,0.0,,,,,0.0,2.48
AFG,2014,626.512930450573,-0.964803329240326,,,,32716210,0,0.0,,,,,0.0,2.77
AFG,2015,566.881132665072,-1.66641641520387,19.5894508361816,13.1258096694946,9.79236030578613,33753499,0,0.0,,,,,0.0,2.77
AFG,2016,523.053012101752,-0.345802496981861,,,,34636207,0,0.0,,,,,0.0,2.55
AFG,2017,526.140801271383,-0.253593781812398,,,,35643418,0,0.0,,,,,0.0,2.55
AFG,2018,492.090632280226,-1.68857659267113,,,,36686784,0,0.0,,,,,0.0,2.97
AFG,2019,497.741429257502,0.932833388709525,,,,37769499,0,0.0,,,,,0.0,2.85
AFG,2020,512.055098228687,-5.36466593096218,,,,38972230,0,0.0,,,,,0.0,2.85
AFG,2021,355.777826392648,-22.9669419945958,15.2469596862793,11.6319198608398,9.46131038665771,40099462,0,0.0,,,,,0.0,0.32
AFG,2022,,,21.0254802703857,15.3429203033447,12.5973300933838,41128771,0,0.0,,,,,0.0,0.32
ALB,2003,1846.12012081207,5.9242115424577,,,,3039616,0,0.0,,,,,23.0,
ALB,2004,2373.58129170055,5.9565695961824,,,,3026939,0,0.0,,,,,57.0,
ALB,2005,2673.78781583529,6.06788243935723,,,,3011487,0,0.0,,,,,44.0,
ALB,2006,2972.74362094736,6.57292298236362,,,,2992547,0,0.0,,,,,76.0,5.91
ALB,2007,3595.03829536404,6.78722893588666,,,,2970017,0,0.0,,,,,59.0,
ALB,2008,4370.53971639449,8.3281084229243,92.3957138061523,81.7339477539062,39.8893203735352,2947314,0,0.0,,,,,53.0,5.91
ALB,2009,4114.13403283023,4.05313986380152,,,,2927519,0,0.0,376.6020626631847,385.4323020017413,389.9548629242823,0.01955427714605948,24.0,
ALB,2010,4094.34968570481,4.22308382721044,,,,2913021,0,0.0,,,,,11.0,5.86
ALB,2011,4437.14116097061,2.82164245514005,95.8474731445312,85.2262191772461,43.4903411865234,2905195,0,0.0,,,,,24.0,5.81
ALB,2012,4247.63134315945,1.58487281451019,95.5083923339844,87.2148971557617,45.2791481018066,2900401,0,0.0,395.2961848829834,396.4242920303604,399.06807018764596,0.0,0.0,5.67
ALB,2013,4413.06338346821,1.18723435286199,,,,2895092,0,0.0,,,,,0.0,5.67
ALB,2014,4578.63320812155,1.98538809180384,,,,2889104,0,0.0,,,,,46.0,5.67
ALB,2015,3952.80357364813,2.51682705417127,,,,2880703,0,0.0,411.554719654841,405.8155392138059,427.608275934804,0.04941006912171073,37.0,5.91
ALB,2016,4124.05538986272,3.48029321671386,,,,2876101,0,0.0,,,,,58.0,5.91
ALB,2017,4531.03220675893,3.89811226746693,96.5127563476562,83.5595169067383,46.3533401489258,2873457,0,0.0,,,,,67.0,5.98
ALB,2018,5287.66080067575,4.27631155105293,,,,2866376,0,0.0,437.55462321119717,406.8196823399906,416.7792280232749,0.06273814558120505,37.0,5.98
ALB,2019,5396.2142432843,2.52354084280566,,,,2854191,0,0.0,,,,,37.0,5.89
ALB,2020,5343.0377039956,-2.74523867757104,,,,2837849,0,0.0,,,,,40.0,6.08
ALB,2021,6377.20309553753,9.92271370805365,,,,2811666,0,0.0,,,,,11.0,6.11
ALB,2022,6810.11404104233,6.13901678987099,,,,2777689,0,0.0,,,,,62.0,6.41
DZA,2003,2117.04822899287,5.75804170624698,,,,32055883,0,0.0,,,,,0.0,
DZA,2004,2624.79523151946,2.84249363853606,,,,32510186,0,0.0,,,,,0.0,
DZA,2005,3131.32818989681,4.46524506291138,,,,32956690,0,0.0,,,,,0.0,
DZA,2006,3500.13459382737,0.244873743065256,64.3996505737305,46.5909004211426,24.1528606414795,33435080,0,0.0,,,,,0.0,3.17
DZA,2007,3971.80348828223,1.73036932785892,,,,33983827,0,0.0,,,,,0.0,
DZA,2008,4946.56401720759,0.664881575080244,64.3715362548828,47.304988861084,25.4165191650391,34569592,0,0.0,,,,,0.0,3.319999999999999
DZA,2009,3898.47878787317,-0.208351662841849,,,,35196037,0,0.0,,,,,0.0,
DZA,2010,4495.92147563024,1.69217010043643,,,,35856344,0,0.0,,,,,0.0,3.44
DZA,2011,5473.28182611668,0.964977573876638,,,,36543541,0,0.0,,,,,0.0,3.44
DZA,2012,5610.73328198233,1.41022666531447,,,,37260563,0,0.0,,,,,0.0,3.83
DZA,2013,5519.77757552373,0.797967812424986,,,,38000626,0,0.0,,,,,0.0,3.83
DZA,2014,5516.22944039649,1.76594122961416,,,,38760168,0,0.0,,,,,0.0,3.83
DZA,2015,4197.41998491398,1.64665726092011,,,,39543154,0,0.0,358.8878675484687,347.6847403515119,376.9287658996204,0.0,0.0,3.95
DZA,2016,3967.20064743809,1.16314757909788,,,,40339329,0,0.0,,,,,0.0,3.56
DZA,2017,4134.93608656171,-0.663171195012765,,,,41136546,0,0.0,,,,,0.0,3.56
DZA,2018,4171.79038755546,-0.707950480650311,,,,41927007,0,0.0,,,,,0.0,3.5
DZA,2019,4021.9832660524,-0.840856659456264,64.0072479248047,45.0607986450195,24.1083202362061,42705368,0,0.0,,,,,0.0,4.01
DZA,2020,3354.15316371593,-6.72994164824063,,,,43451666,0,0.0,,,,,0.0,3.77
DZA,2021,3700.31469728198,1.70006376681854,,,,44177969,0,0.0,,,,,0.0,3.77
DZA,2022,4342.63796796522,1.53316323155349,,,,44903225,0,0.0,,,,,0.0,3.66
ASM,2003,9043.68236654528,1.37676078341285,,,,57941,0,0.0,,,,,0.0,
ASM,2004,8832.81851941832,0.958704603397948,,,,57626,0,0.0,,,,,0.0,
ASM,2005,8733.01428721137,0.238921012915611,,,,57254,0,0.0,,,,,0.0,
ASM,2006,8673.92719531291,-3.39475237932344,,,,56837,0,0.0,,,,,0.0,
ASM,2007,9187.16634446553,2.67197034041648,,,,56383,0,0.0,,,,,0.0,
ASM,2008,10019.502245442,-1.80045000177043,,,,55891,0,0.0,,,,,0.0,
ASM,2009,12191.5977314597,-3.25794109501621,,,,55366,0,0.0,,,,,0.0,
ASM,2010,10446.8632062572,1.24526425733148,,,,54849,0,0.0,,,,,0.0,
ASM,2011,10495.3047320935,0.992450745719012,,,,54310,0,0.0,,,,,0.0,
ASM,2012,11920.0610903131,-3.2319106405226,,,,53691,0,0.0,,,,,0.0,
ASM,2013,12038.8715916596,-1.21950183979621,,,,52995,0,0.0,,,,,0.0,
ASM,2014,12313.9973571825,3.27902164193507,,,,52217,0,0.0,,,,,0.0,
ASM,2015,13101.5418159165,4.85444230115995,,,,51368,0,0.0,,,,,0.0,
ASM,2016,13300.8246114811,0.113644342114497,,,,50448,0,0.0,,,,,0.0,
ASM,2017,12372.8847825647,-5.13533988577697,,,,49463,0,0.0,,,,,0.0,
ASM,2018,13195.9358995539,4.87406112450759,,,,48424,0,0.0,,,,,0.0,
ASM,2019,13672.576657298,1.83171396600592,,,,47321,0,0.0,,,,,0.0,
ASM,2020,15609.7772196843,6.97068820816773,,,,46189,0,0.0,,,,,0.0,
ASM,2021,16653.7137781725,1.75992833256275,,,,45035,0,0.0,,,,,0.0,
ASM,2022,19673.3901023197,3.48601710593883,,,,44273,0,0.0,,,,,0.0,
AND,2003,31954.1617868177,4.19683709369501,94.3892822265625,,42.3038711547852,73907,0,0.0,,,,,0.0,
AND,2004,37630.7642639554,3.88238377731496,97.7652435302734,,51.4541816711426,76933,0,0.0,,,,,0.0,
AND,2005,39583.9311942065,1.57804021890526,93.9136276245117,,43.9101715087891,79826,0,0.0,,,,,0.0,
AND,2006,43084.283724089,4.29262143453559,93.0027923583984,,49.9506492614746,80221,0,0.0,,,,,0.0,
AND,2007,50562.8266054777,4.22037542039897,,,,78168,0,0.0,,,,,0.0,
AND,2008,53721.3885067173,-2.93538202686689,,,,76055,0,0.0,,,,,0.0,
AND,2009,49750.7185512247,-2.47803707231481,,,,73852,0,0.0,,,,,0.0,
AND,2010,48237.8905407208,1.2226877027027,,,,71519,0,0.0,,,,,0.0,
AND,2011,51428.1896998835,1.34089389241103,,,,70567,0,0.0,,,,,0.0,
AND,2012,44902.38771225,-5.57125554315211,,,,71013,0,0.0,,,,,0.0,
AND,2013,44747.7611562684,-4.02602703426984,,,,71367,0,0.0,,,,,0.0,
AND,2014,45680.5469412164,2.14093898224779,96.5344924926758,72.8445892333984,47.8374099731445,71621,0,0.0,,,,,0.0,
AND,2015,38885.5485894753,1.25741601269149,96.4553298950195,72.5006103515625,47.5452003479004,71746,0,0.0,,,,,0.0,
AND,2016,39931.2362644858,2.57450458774666,96.5188369750977,72.3267669677734,47.3496894836426,72540,0,0.0,,,,,0.0,
AND,2017,40632.2089824607,-1.41657902035861,,,,73837,0,0.0,,,,,0.0,
AND,2018,42904.8115883352,-0.00387029555736262,,,,75013,0,0.0,,,,,0.0,
